title_len,body_length,num_codeblocks,len_codeblocks,code/text,num_tags,good_score
38,252,1,7,0.0277777777777777,4,True
45,383,5,140,0.3655352480417754,3,True
79,1321,26,253,0.1915215745647236,4,True
36,1492,6,78,0.0522788203753351,4,True
37,1076,2,49,0.045539033457249,5,True
136,5001,0,0,0.0,4,True
38,668,0,0,0.0,3,True
41,449,0,0,0.0,3,True
52,1482,0,0,0.0,3,True
50,101,1,7,0.0693069306930693,1,False
29,398,0,0,0.0,1,True
51,326,3,58,0.1779141104294478,1,True
54,621,1,11,0.0177133655394524,3,True
82,687,0,0,0.0,5,True
41,641,1,17,0.0265210608424337,1,True
65,1170,1,13,0.0111111111111111,5,True
54,1992,0,0,0.0,5,True
65,1636,1,243,0.1485330073349633,5,True
67,280,1,6,0.0214285714285714,2,True
86,136,1,68,0.5,2,True
48,323,3,55,0.1702786377708978,1,True
65,935,0,0,0.0,1,True
46,571,0,0,0.0,3,True
33,337,1,30,0.0890207715133531,4,True
96,1196,5,102,0.0852842809364548,1,True
72,214,0,0,0.0,4,True
52,1980,0,0,0.0,1,True
88,215,0,0,0.0,2,True
77,708,0,0,0.0,4,True
90,1893,16,160,0.0845219228737453,3,True
52,59,0,0,0.0,2,True
58,677,0,0,0.0,1,True
43,1570,0,0,0.0,3,True
55,220,1,7,0.0318181818181818,4,True
69,917,0,0,0.0,5,True
41,205,0,0,0.0,3,True
72,747,0,0,0.0,2,True
55,1323,4,98,0.074074074074074,5,True
43,240,0,0,0.0,5,True
45,395,2,26,0.0658227848101265,3,True
64,1079,4,59,0.0546802594995366,1,True
79,1811,1,710,0.3920485919381557,5,False
74,320,0,0,0.0,2,True
55,493,1,13,0.0263691683569979,1,True
36,525,0,0,0.0,2,True
38,855,0,0,0.0,3,True
65,475,0,0,0.0,3,True
21,154,0,0,0.0,2,True
38,1255,5,113,0.0900398406374502,5,True
34,474,0,0,0.0,3,True
32,545,5,105,0.1926605504587156,1,True
68,227,0,0,0.0,4,True
71,459,9,56,0.1220043572984749,5,True
135,655,2,38,0.0580152671755725,5,True
54,2156,0,0,0.0,5,True
